a2ps	4.14	Any-to-PostScriptフィルター
a52dec	0.7.4	ATSC A/52ストリームをデコードするためのライブラリ（別名「AC-3」）
aacgain	1.8	AAC対応バージョンのmp3gain
aalib	1.4rc5.	ポータブルASCIIアートグラフィックライブラリ
aamath	0.3	数式をASCIIアートとしてレンダリングします
aap	1.094	Aapは、ソフトウェアをダウンロード、ビルド、およびインストールするための作りのようなツールです。
aardvark_shell_utils	1.0	シェルスクリプトまたはコマンドラインユーザーを支援するユーティリティ
abcde	2.7	より良いCDエンコーダー
abcl	1.3.2	Armed Bear Common Lisp：CommonLispの完全な実装
abcm2ps	7.8.14	ABC記譜ソフトウェア
abcmidi	2015-08-06	abc記譜ファイルをMIDIファイルに変換します
abduco	0.4	セッション管理を提供します。つまり、端末からプログラムを分離します。
abi-compliance-checker	1.99.9	C/C++のバイナリとソースの互換性を確認してください
abnfgen	0.16	ABFN文法に一致するランダムなドキュメントをすばやく生成します
abook	0.5.6	muttをサポートするアドレスブック
ace	6.3.3	適応型通信環境：C++でのオブジェクト指向ネットワークプログラミング
aces_container	v1.0	SMPTES2065-4のリファレンス実装
ack	2.14	grepのような検索ツールですが、プログラマー向けに最適化されています
acme	0.91	複数の環境向けのクロスアセンブラ
acpica	20150717	ACPI仕様のOSに依存しない実装
activemq	5.11.2	Apache ActiveMQ：強力なオープンソースメッセージングサーバー
activemq-cpp	3.8.4	ApacheActiveMQなどのメッセージブローカー用のC++ API
admesh	0.98.2	三角形分割されたソリッドメッシュを処理します
adns	1.5.0	C/C++リゾルバーライブラリとDNSリゾルバーユーティリティ
adplug	2.2.1	無料のハードウェアに依存しないAdLibサウンドプレーヤーライブラリ
advancecomp	1.20	.PNG、.MNG、.ZIP、および.GZファイルの再圧縮ユーティリティ
aescrypt	0.7	暗号化/復号化のためのプログラム
aescrypt-packetizer	3.10	256ビットのAES暗号化を使用して暗号化および復号化
aeskeyfind	1.0	自動キー検索プログラム
aespipe	v2.4c	パイプのAES暗号化または復号化
afflib	V3.7.6	高度なフォレンジックフォーマット
afio	2.5.1	cpio形式のアーカイブを作成します
afl-fuzz	1.88	American fuzzy lop：セキュリティ指向のファザー
afsctool	1.6.4	HFS +圧縮ファイルを操作するためのユーティリティ
aften	0.0.8	ATSC A/52圧縮オーディオストリームを生成するオーディオエンコーダ
agda	2.4.2.3	依存型関数型プログラミング言語
aget	0.4.1	マルチスレッドHTTPダウンロードアクセラレータ
aggregate	1.6	プレフィックスのリストを最適化して、リストの長さを短縮します
aha	0.4.8	ANSIHTMLアダプター
ahcpd	0.53	IPv6およびIPv6/IPv4ネットワークの自動構成プロトコル
aiccu	20070115	AICCU（自動IPv6接続クライアントユーティリティ）
aide	0.15.1	ファイルとディレクトリの整合性チェッカー
aircrack-ng	1.1	多くの新機能を備えた次世代のaircrack
akka	2.11-2.3.11	並行、分散、およびフォールトトレラントなアプリを構築するためのツールキット
alac	0.2.0	Apple Lossless Audio Codecファイル（ALAC）の基本的なデコーダー
aldo	0.7.7	GPLの下でリリースされたモールス信号学習ツール
algernon	0.85	LuaをサポートするHTTP/2Webサーバー
algol68g	2.8.1	Algol68コンパイラ-インタプリタ
align	1.7.4	テキスト列の配置フィルター
allegro	5.0.11	クロスプラットフォームゲーム開発用のC/C++マルチメディアライブラリ
alpine	2.20	ニュースとメールエージェント
alure	1.2	OpenALアプリケーションで一般的なタスクを管理する
amap	5.4	アプリケーションプロトコル検出を実行します
amtterm	1.4	Intel AMT用のSerial-over-LAN（sol）クライアント
analog	6.0	ログファイルアナライザー
android-ndk	r10e	Androidネイティブコード言語ツールセット
android-platform-tools	23.0.0	AndroidSDK用のツール
android-sdk	24.4	AndroidAPIライブラリと開発者ツール
anjuta	3.18.0	GNOME統合開発環境
ansible	1.9.3	展開、構成、およびアップグレードを自動化する
ansifilter	1.12	ANSIコードを削除するか、HTML、（La）Tex、RTF、またはBBCodeに変換します
ansiweather	1.04	ANSIカラーとUnicode記号を使用した端末の天気
ant	1.9.6	Javaビルドツール
ant-contrib	1.0b3	ApacheAntのタスクのコレクション
antigen	v1	oh-my-zshとvundleに触発されたzshのプラグインマネージャー。
antiword	0.37	Word（.doc）ファイルを読み取るためのユーティリティ
antlr	4.5.1	ANTLR：言語認識のためのもう1つのツール
anttweakbar	1.16	OpenGLアプリにGUIを追加するためのC/C++ライブラリ
aoeui	1.6	DvorakおよびQWERTYキーボード用に最適化された軽量テキストエディタ
apache-archiva	2.2.0	ビルドアーティファクトリポジトリマネージャー
apache-drill	1.1.0	HadoopおよびNoSQL用のスキーマフリーSQLクエリエンジン
apache-forrest	0.9	複数の出力形式を提供するパブリッシングフレームワーク
apache-opennlp	1.6.0	自然言語テキストを処理するための機械学習ツールキット
apache-spark	1.5.0	大規模データ処理用エンジン
apachetop	0.12.6	Apacheログのトップのような表示
ape	v1.1.2	Ajaxプッシュエンジン
apel	10.8	ポータブルEmacsプログラムの作成に役立つEmacsLispライブラリ
apg	2.2.3	ランダムパスワード生成用のツールセット
apgdiff	2.4	別のPostgreSQL差分ツール
apib	1_0	HTTPパフォーマンステストツール
apktool	2.0.1	サードパーティのクローズドバイナリAndroidアプリをリバースエンジニアリングするためのツール
apngasm	3.1.6	次世代のapngasm、APNGアセンブラー
apollo	1.7.1	ActiveMQに基づくマルチプロトコルメッセージングブローカー
app-engine-go-32	386-1.9.23	Go！用のGoogle App Engine SDK
app-engine-go-64	64-1.9.26	Go！用のGoogle App Engine SDK
app-engine-java	1.9.23	Java用GoogleApp Engine
app-engine-python	1.9.23	Google App Engine
apparix	11-062	ブックマークディレクトリを介したファイルシステムナビゲーション
apple-gcc42	4.2.1-5553	
appscale-tools	2.4.0	AppScaleを操作するためのコマンドラインツール
appswitch	1.1	
apr	1.5.2	Apacheポータブルランタイムライブラリ
apr-util	1.5.4	4月のコンパニオンライブラリ、Apache PortableRuntimeライブラリ
apt-cacher-ng	0.8.5	キャッシングプロキシ
apt-dater	0.9.0	SSHを使用してリモートホストのパッケージ更新を管理する
aptly	v0.9.5	Debianリポジトリ管理用のスイスアーミーナイフ
aqbanking	5.5.1	一般的なオンラインバンキングインターフェイス
arabica	20121126	C++で記述されたXMLツールキット
arangodb	2.6.8	柔軟なデータモデルを備えたユニバーサルオープンソースデータベース
archey	1.4	OSX用のArcheyスクリプト
argp-standalone	1.3	GLIBCの関数を解析する引数のスタンドアロンバージョン
argtable	2-13	GNUスタイルのコマンドラインオプションを解析するためのANSICライブラリ
argus	3.0.8.1	監査記録の生成と利用システムサーバー
argus-clients	3.0.8	監査記録の生成と利用システムのクライアント
argyll-cms	V1.8.2	ICC互換のカラーマネジメントシステム
aria2	1.19.0	再開してセグメント化されたダウンロードでダウンロードする
arm	1.4.5.0	Torのターミナルステータスモニター
arp-scan	1.9	ARPスキャンおよびフィンガープリントツール
arp-sk	0.0.16	ARPトラフィック生成ツール
arping	2.15	MACアドレスがLAN上ですでに使用されているかどうかを確認するユーティリティ
arpoison	0.7	UNIXarpキャッシュ更新ユーティリティ
arpon	2.7.2	ARPプロトコルをMITM攻撃から保護するためのハンドラデーモン
arss	0.2.3	サウンドファイルをスペクトログラムに分析します
