a2ps	4.14	Any-to-PostScript filter
a52dec	0.7.4	Library for decoding ATSC A/52 streams (AKA 'AC-3')
aacgain	1.8	AAC-supporting version of mp3gain
aalib	1.4rc5.	Portable ASCII art graphics library
aamath	0.3	Renders mathematical expressions as ASCII art
aap	1.094	Aap is a make-like tool to download, build, and install software
aardvark_shell_utils	1.0	Utilities to aid shell scripts or command-line users
abcde	2.7	Better CD Encoder
abcl	1.3.2	Armed Bear Common Lisp: a full implementation of Common Lisp
abcm2ps	7.8.14	ABC music notation software
abcmidi	2015-08-06	Converts abc music notation files to MIDI files
abduco	0.4	Provides session management: i.e. separate programs from terminals
abi-compliance-checker	1.99.9	Check binary and source compatibility for C/C++
abnfgen	0.16	Quickly generate random documents that match an ABFN grammar
abook	0.5.6	Address book with mutt support
ace	6.3.3	ADAPTIVE Communication Environment: OO network programming in C++
aces_container	v1.0	Reference implementation of SMPTE S2065-4
ack	2.14	Search tool like grep, but optimized for programmers
acme	0.91	Crossassembler for multiple environments
acpica	20150717	OS-independent implementation of the ACPI specification
activemq	5.11.2	Apache ActiveMQ: powerful open source messaging server
activemq-cpp	3.8.4	C++ API for message brokers such as Apache ActiveMQ
admesh	0.98.2	Processes triangulated solid meshes
adns	1.5.0	C/C++ resolver library and DNS resolver utilities
adplug	2.2.1	Free, hardware independent AdLib sound player library
advancecomp	1.20	Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files
aescrypt	0.7	Program for encryption/decryption
aescrypt-packetizer	3.10	Encrypt and decrypt using 256-bit AES encryption
aeskeyfind	1.0	Program for automatic key-finding
aespipe	v2.4c	AES encryption or decryption for pipes
afflib	V3.7.6	Advanced Forensic Format
afio	2.5.1	Creates cpio-format archives
afl-fuzz	1.88	American fuzzy lop: Security-oriented fuzzer
afsctool	1.6.4	Utility for manipulating HFS+ compressed files
aften	0.0.8	Audio encoder which generates ATSC A/52 compressed audio streams
agda	2.4.2.3	Dependently typed functional programming language
aget	0.4.1	Multithreaded HTTP download accelerator
aggregate	1.6	Optimizes lists of prefixes to reduce list lengths
aha	0.4.8	ANSI HTML adapter
ahcpd	0.53	Autoconfiguration protocol for IPv6 and IPv6/IPv4 networks
aiccu	20070115	AICCU (Automatic IPv6 Connectivity Client Utility)
aide	0.15.1	File and directory integrity checker
aircrack-ng	1.1	Next-generation aircrack with lots of new features
akka	2.11-2.3.11	Toolkit for building concurrent, distributed, and fault tolerant apps
alac	0.2.0	Basic decoder for Apple Lossless Audio Codec files (ALAC)
aldo	0.7.7	Morse code learning tool released under GPL
algernon	0.85	HTTP/2 web server with Lua support
